,Radio Listeners (P7D - Past 7 Days) analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Radio Listenership,Radio Listenership - Mobile Phone,Radio Listeners (P7D - Past 7 Days)
3114,Tuta,134883042,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Never,Never,"KFM,Tuta,Yangeni,"
3115,KFM,134913149,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,Tuta,"
3116,Tuta,134913149,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,Tuta,"
3117,KFM,134949731,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 12 Months,Never,"Radio 1,KFM,Tuta,Yangeni,"
3118,Yangeni,134949731,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 12 Months,Never,"Radio 1,KFM,Tuta,Yangeni,"
3119,Tuta,134949731,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 12 Months,Never,"Radio 1,KFM,Tuta,Yangeni,"
3120,Radio 1,134949731,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 12 Months,Never,"Radio 1,KFM,Tuta,Yangeni,"
3121,Yangeni,134953866,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Tuta,Yangeni,"
3122,Tuta,134953866,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Tuta,Yangeni,"
3123,Yangeni,134977257,Luapula,Kawambwa,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Yangeni,"
3124,Yangeni,135020912,Luapula,Kawambwa,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 12 Months,Never,"Tuta,Yangeni,"
3125,Tuta,135020912,Luapula,Kawambwa,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 12 Months,Never,"Tuta,Yangeni,"
3126,Tuta,135024136,Luapula,Kawambwa,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Tuta,"
3127,KFM,135026255,Luapula,Kawambwa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"KFM,Tuta,Yangeni,"
3128,Yangeni,135026255,Luapula,Kawambwa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"KFM,Tuta,Yangeni,"
3129,Tuta,135026255,Luapula,Kawambwa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"KFM,Tuta,Yangeni,"
3130,Tuta,135073220,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Radio 1,Tuta,"
3131,Radio 1,135073220,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Radio 1,Tuta,"
3132,Radio 1,135077355,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"Radio 1,"
3133,Bangwela,135078508,Luapula,Samfya,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Never,Never,"Bangwela,"
3134,Bangwela,135081108,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Radio 1,Bangwela"
3135,Radio 1,135081108,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Radio 1,Bangwela"
3136,Parliament,135117568,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 7 Days,Never,",Radio 2,Bangwela, Parliament,"
3137,Bangwela,135117568,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 7 Days,Never,",Radio 2,Bangwela, Parliament,"
3138,Radio 2,135117568,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 7 Days,Never,",Radio 2,Bangwela, Parliament,"
3139,Yangeni,135118608,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Yangeni,"
3140,KFM,135119022,Luapula,Samfya,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,KFM,Tuta,Yangeni,"
3141,Yangeni,135119022,Luapula,Samfya,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,KFM,Tuta,Yangeni,"
3142,Tuta,135119022,Luapula,Samfya,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,KFM,Tuta,Yangeni,"
3143,Radio 1,135119022,Luapula,Samfya,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,KFM,Tuta,Yangeni,"
3144,Bangwela,135119023,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 12 Months,Never,"Bangwela,"
3145,Bangwela,135119025,Luapula,Samfya,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Yesterday,Never,"Bangwela,"
3146,KFM,135119026,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,Yesterday,Never,",Bangwela,KFM,Tuta,Yangeni,"
3147,Yangeni,135119026,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,Yesterday,Never,",Bangwela,KFM,Tuta,Yangeni,"
3148,Bangwela,135119026,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,Yesterday,Never,",Bangwela,KFM,Tuta,Yangeni,"
3149,Tuta,135119026,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,45+,Yesterday,Never,",Bangwela,KFM,Tuta,Yangeni,"
3150,Bangwela,134590021,Luapula,Samfya,Urban,Male,2,,D,No formal education,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Bangwela,"
3151,Radio 2,134591036,Luapula,Samfya,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Yesterday,Never,"Radio 2,"
3152,Luapula,134624682,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Luapula,"
3153,Nchelenge,134626278,Luapula,Nchelenge,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 7 Days,Never,"Radio 1,Radio 2,Radio 4,Luapula,Nchelenge,"
3154,Radio 4,134626278,Luapula,Nchelenge,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 7 Days,Never,"Radio 1,Radio 2,Radio 4,Luapula,Nchelenge,"
3155,Radio 2,134626278,Luapula,Nchelenge,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 7 Days,Never,"Radio 1,Radio 2,Radio 4,Luapula,Nchelenge,"
3156,Radio 1,134626278,Luapula,Nchelenge,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 7 Days,Never,"Radio 1,Radio 2,Radio 4,Luapula,Nchelenge,"
3157,Luapula,134626278,Luapula,Nchelenge,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 7 Days,Never,"Radio 1,Radio 2,Radio 4,Luapula,Nchelenge,"
3158,Nchelenge,134655170,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,",Radio 2,Nchelenge,"
3159,Radio 2,134655170,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,",Radio 2,Nchelenge,"
3160,Nchelenge,134655477,Luapula,Nchelenge,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Nchelenge,"
3161,Radio 1,134663053,Luapula,Nchelenge,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 12 Months,Never,"Radio 1,"
3162,Radio 2,134666745,Luapula,Nchelenge,Rural,Female,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Yesterday,Never,"Radio 2,"
3163,Lubuto,134667533,Luapula,Nchelenge,Rural,Male,2,,D,Secondary,Christian,Not employed,D,Under K 849,,35 – 44,Past 12 Months,Never,"Radio 1,Radio 2,Lubuto,"
3164,Radio 2,134667533,Luapula,Nchelenge,Rural,Male,2,,D,Secondary,Christian,Not employed,D,Under K 849,,35 – 44,Past 12 Months,Never,"Radio 1,Radio 2,Lubuto,"
3165,Radio 1,134667533,Luapula,Nchelenge,Rural,Male,2,,D,Secondary,Christian,Not employed,D,Under K 849,,35 – 44,Past 12 Months,Never,"Radio 1,Radio 2,Lubuto,"
3166,KFM,134803651,Luapula,Mansa,Rural,Male,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,Tuta,"
3167,Tuta,134803651,Luapula,Mansa,Rural,Male,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,Tuta,"
3168,KFM,134803653,Luapula,Mansa,Rural,Male,2,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Past 7 Days,Never,"KFM,"
3169,Yangeni,134807168,Luapula,Mansa,Rural,Female,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Yangeni,"
3170,KFM,134816266,Luapula,Mansa,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 7 Days,Never,"KFM,Yangeni,"
3171,Yangeni,134816266,Luapula,Mansa,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 7 Days,Never,"KFM,Yangeni,"
3172,KFM,134841035,Luapula,Mansa,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Never,Never,"KFM,Yangeni,"
3173,Yangeni,134841035,Luapula,Mansa,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Never,Never,"KFM,Yangeni,"
3174,Yangeni,134841784,Luapula,Mansa,Urban,Male,2,,D,Tertiary,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"Radio 1,Yangeni,"
3175,Radio 1,134841784,Luapula,Mansa,Urban,Male,2,,D,Tertiary,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"Radio 1,Yangeni,"
3176,KFM,134867555,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,Tuta,Yangeni,"
3177,Yangeni,134867555,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,Tuta,Yangeni,"
3178,Tuta,134867555,Luapula,Mansa,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,Tuta,Yangeni,"
3179,Yangeni,134871711,Luapula,Mansa,Urban,Female,1,,D,No formal education,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 12 Months,Never,"Tuta,Yangeni,"
3180,Tuta,134871711,Luapula,Mansa,Urban,Female,1,,D,No formal education,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 12 Months,Never,"Tuta,Yangeni,"
3181,Tuta,134871716,Luapula,Mansa,Rural,Female,1,,D,No formal education,Christian,Employed for cash,D,Under K 849,,45+,Past 4 Weeks,Never,"Radio 1,Tuta,"
3182,Radio 1,134871716,Luapula,Mansa,Rural,Female,1,,D,No formal education,Christian,Employed for cash,D,Under K 849,,45+,Past 4 Weeks,Never,"Radio 1,Tuta,"
3183,Yangeni,134882114,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,"Yangeni,"
3184,Yangeni,134917843,Luapula,Mansa,Rural,Female,2,,D,No formal education,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"Tuta,Yangeni,"
3185,Tuta,134917843,Luapula,Mansa,Rural,Female,2,,D,No formal education,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"Tuta,Yangeni,"
3186,Yangeni,134942315,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Radio 1,Yangeni,"
3187,Radio 1,134942315,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Radio 1,Yangeni,"
3188,Yangeni,134951486,Luapula,Mansa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,"Yangeni,"
3189,Tuta,134952290,Luapula,Mansa,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,15 – 18,Past 12 Months,Never,"Tuta,"
3190,Tuta,134975616,Luapula,Kawambwa,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Tuta,"
3191,KFM,134991607,Luapula,Kawambwa,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Yesterday,Never,"KFM,"
3192,Radio 1,134991928,Luapula,Kawambwa,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Radio 1,"
3193,KFM,134991930,Luapula,Kawambwa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 12 Months,Never,"Radio 1,KFM,"
3194,Radio 1,134991930,Luapula,Kawambwa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 12 Months,Never,"Radio 1,KFM,"
3195,Yangeni,134991963,Luapula,Kawambwa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"Yangeni,"
3196,KFM,134995108,Luapula,Kawambwa,Rural,Male,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 12 Months,Never,"KFM,"
3197,KFM,134995112,Luapula,Kawambwa,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,"
3198,KFM,135022687,Luapula,Kawambwa,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Radio 4,KFM,"
3199,Radio 4,135022687,Luapula,Kawambwa,Urban,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"Radio 4,KFM,"
3200,KFM,135028055,Luapula,Kawambwa,Urban,Female,2,,D,No formal education,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"KFM,"
3201,KFM,135037753,Luapula,Kawambwa,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"KFM,"
3202,Bangwela,135082279,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Bangwela,"
3203,Bangwela,135082284,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Yesterday,Never,"Bangwela,"
3204,Bangwela,135118103,Luapula,Samfya,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,"Bangwela,"
3205,Bangwela,135118317,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,Past 4 Weeks,Never,"Bangwela,"
3206,Bangwela,135118318,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 12 Months,Never,"Bangwela,"
3207,Bangwela,135118605,Luapula,Samfya,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Bangwela,"
3208,Radio 1,135149960,Luapula,Samfya,Rural,Female,1,,D,No formal education,Christian,Employed for cash,D,Under K 849,,45+,Past 4 Weeks,Never,"Radio 1,"
3209,Bangwela,135149964,Luapula,Samfya,Urban,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Bangwela"
3210,Radio 1,135149964,Luapula,Samfya,Urban,Male,2,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Yesterday,Never,"Radio 1,Bangwela"
3211,Bangwela,135149965,Luapula,Samfya,Urban,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Bangwela,"
3212,Mkushi FM,134851081,Central,Mkushi,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,"Mkushi FM,Radio 1,"
3213,Radio 1,134851081,Central,Mkushi,Rural,Male,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,"Mkushi FM,Radio 1,"
3214,Radio 2,134855506,Central,Mkushi,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 7 Days,Never,"Radio 2,"
3215,KNCRADIO,134977744,Central,Kapiri Mposhi,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 7 Days,Never,"KNCRADIO,Radio 2,"
3216,Radio 2,134977744,Central,Kapiri Mposhi,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 7 Days,Never,"KNCRADIO,Radio 2,"
3217,Radio 1,134994967,Central,Kapiri Mposhi,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,"Radio 1,"
3218,Radio 1,134701672,Central,Serenje,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,15 – 18,Yesterday,Never,"Radio 1,"
3219,KNCRADIO,134922050,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"KNCRADIO,"
3220,KNCRADIO,134922048,Central,Kapiri Mposhi,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"KNCRADIO,Radio 1,Radio 2,Radio Christian Voice,"
3221,Radio Christian Voice,134922048,Central,Kapiri Mposhi,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"KNCRADIO,Radio 1,Radio 2,Radio Christian Voice,"
3222,Radio 2,134922048,Central,Kapiri Mposhi,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"KNCRADIO,Radio 1,Radio 2,Radio Christian Voice,"
3223,Radio 1,134922048,Central,Kapiri Mposhi,Rural,Female,1,,D,Primary,Christian,Not employed,D,Under K 849,,35 – 44,Past 7 Days,Never,"KNCRADIO,Radio 1,Radio 2,Radio Christian Voice,"
3224,KNCRADIO,135178576,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,15 – 18,Past 4 Weeks,Never,"KNCRADIO,"
3225,Radio 1,134788042,Central,Serenje,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Joy FM,Radio 1,"
3226,Joy FM,134788042,Central,Serenje,Rural,Male,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Joy FM,Radio 1,"
3227,Serenje,134779693,Central,Mkushi,Rural,Male,2,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Serenje,"
3228,Mkushi FM,134905641,Central,Mkushi,Urban,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Mkushi FM,Radio 1,Radio 2,"
3229,Radio 2,134905641,Central,Mkushi,Urban,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Mkushi FM,Radio 1,Radio 2,"
3230,Radio 1,134905641,Central,Mkushi,Urban,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Mkushi FM,Radio 1,Radio 2,"
3231,Radio 4,135154126,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,",Phoenix FM,Radio 4,Foston Radio"
3232,Foston Radio,135154126,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,",Phoenix FM,Radio 4,Foston Radio"
3233,Phoenix FM,135154126,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,",Phoenix FM,Radio 4,Foston Radio"
3234,Phoenix FM,135047474,Central,Kapiri Mposhi,Rural,Female,2,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"Joy FM,Phoenix FM,"
3235,Joy FM,135047474,Central,Kapiri Mposhi,Rural,Female,2,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,Past 7 Days,Never,"Joy FM,Phoenix FM,"
3236,Mkushi FM,134855845,Central,Mkushi,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Mkushi FM,Radio 1,"
3237,Radio 1,134855845,Central,Mkushi,Rural,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,19 – 24,Past 12 Months,Never,"Mkushi FM,Radio 1,"
3238,Radio 2,134879246,Central,Mkushi,Rural,Female,1,,D,Secondary,Christian,Employed not for cash,D,Under K 849,,25 – 34,Yesterday,Never,"Radio 2,"
3239,Maranatha,134922055,Central,Kapiri Mposhi,Rural,Male,3,,D,Tertiary,Christian,Not employed,D,Under K 849,,19 – 24,Yesterday,Never,",Maranatha,"
3240,Radio 1,135107708,Central,Kapiri Mposhi,Rural,Female,3,,D,Secondary,Christian,Not employed,D,Under K 849,,35 – 44,Past 4 Weeks,Never,"Radio 1,"
3241,KNCRADIO,134865945,Central,Mkushi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,35 – 44,Yesterday,Never,"KNCRADIO,Joy FM,Mkushi FM,"
3242,Mkushi FM,134865945,Central,Mkushi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,35 – 44,Yesterday,Never,"KNCRADIO,Joy FM,Mkushi FM,"
3243,Joy FM,134865945,Central,Mkushi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,35 – 44,Yesterday,Never,"KNCRADIO,Joy FM,Mkushi FM,"
3244,Maranatha,135181149,Central,Kabwe,Urban,Female,2,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Yesterday,Past 12 Months,",Maranatha,"
3245,Radio 2,134922184,Central,Kapiri Mposhi,Rural,Male,3,,D,Primary,Christian,Not employed,D,Under K 849,,25 – 34,Past 4 Weeks,Never,"Radio 2,"
3246,Radio 1,134994969,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Employed for cash,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,"
3247,KNCRADIO,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"KNCRADIO,Radio 1,Komboni Radio,"
3248,Komboni Radio,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"KNCRADIO,Radio 1,Komboni Radio,"
3249,Radio 1,135189703,Central,Kabwe,Urban,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"KNCRADIO,Radio 1,Komboni Radio,"
3250,Radio 1,135031769,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 7 Days,Never,"Radio 1,"
3251,Radio 1,134922016,Central,Kapiri Mposhi,Rural,Female,1,,D,Secondary,Christian,Not employed,D,Under K 849,,19 – 24,Past 4 Weeks,Never,"Radio 1,"
3252,KNCRADIO,135076268,Central,Kapiri Mposhi,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,35 – 44,Yesterday,Never,"KNCRADIO,"
3253,KNCRADIO,134849445,Central,Mkushi,Urban,Female,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 7 Days,Never,"KNCRADIO,Radio 1,"
3254,Radio 1,134849445,Central,Mkushi,Urban,Female,2,,D,Secondary,Christian,Employed for cash,D,Under K 849,,25 – 34,Past 7 Days,Never,"KNCRADIO,Radio 1,"
3255,KNCRADIO,134807526,Central,Mkushi,Rural,Female,3,,D,Secondary,Christian,Employed not for cash,D,Under K 849,,35 – 44,Past 4 Weeks,Never,"KNCRADIO,Mkushi FM,Radio 2,"
